PMID	EUTIL	WEBAPI	TOPIC TERM
26289314	Glycosylation	*Glycosylation	Neoplasms
26289314	Humans	*Cancer	Neoplasms
26289314	Neoplasms	Glycobiology	Neoplasms
26289314	Polysaccharides	Glycans	Neoplasms
26289314	NA	Cell Adhesion	Neoplasms
26289314	NA	Cell Signaling	Neoplasms
26289314	NA	Disease Progression	Neoplasms
28244479	Humans	*Cancers	Neoplasms
28244479	Neoplasms	Survival Rate	Neoplasms
28244479	Survival Rate	India	Neoplasms
28244479	NA	Incidence	Neoplasms
21248838	Animals	Humans	Neoplasms
21248838	Cell Lineage	*Cancers	Neoplasms
21248838	Hematologic Neoplasms	Neoplastic Stem Cells	Neoplasms
21248838	Humans	Cell Transformation, Neoplastic	Neoplasms
21248838	Models, Biological	Cell Lineage	Neoplasms
21248838	Neoplasms	Cell Differentiation	Neoplasms
21248838	Neoplastic Stem Cells	NA	Neoplasms
21248838	Phenotype	NA	Neoplasms
28741511	Animals	*Endoplasmic Reticulum Stress	Neoplasms
28741511	Cell Transformation, Neoplastic	*Cancer	Neoplasms
28741511	Drug Resistance, Neoplasm	Unfolded Protein Response	Neoplasms
28741511	Endoplasmic Reticulum Stress	Signal Transduction	Neoplasms
28741511	Epigenesis, Genetic	Endoplasmic Reticulum	Neoplasms
28741511	Genomic Instability	Neovascularization, Pathologic	Neoplasms
28741511	Humans	Proteostasis	Neoplasms
28741511	Neoplasm Invasiveness	Apoptosis	Neoplasms
28741511	Neoplasms	Inflammation	Neoplasms
28741511	Unfolded Protein Response	Tumor Microenvironment	Neoplasms
29056514	Carcinogenesis	Humans	Neoplasms
29056514	Exercise	*Exercise	Neoplasms
29056514	Humans	Cancer	Neoplasms
29056514	Immunity	Treatment Efficacy	Neoplasms
29056514	Models, Biological	Incidence	Neoplasms
29056514	Neoplasms	Risk Factors	Neoplasms
31455183	Aging	Animals	Neoplasms
31455183	Humans	*Aging	Neoplasms
31455183	Models, Biological	Cellular Reprogramming	Neoplasms
31455183	Neoplasms	Cellular Senescence	Neoplasms
31455183	Regeneration	Regenerative Medicine	Neoplasms
31455183	NA	Phenotype	Neoplasms
31455183	NA	Cancer	Neoplasms
12724736	Humans	Male	Neoplasms
12724736	Neoplasms	*Photochemotherapy	Neoplasms
12724736	Photochemotherapy	Photosensitizing Agents	Neoplasms
12724736	NA	Medical Oncology	Neoplasms
12724736	NA	Lung Neoplasms	Neoplasms
12724736	NA	Prostate	Neoplasms
12724736	NA	Skin	Neoplasms
12724736	NA	Ambulatory Care Facilities	Neoplasms
12724736	NA	Breast	Neoplasms
17476343	Animals	Humans	Neoplasms
17476343	Humans	Animals	Neoplasms
17476343	Immunologic Surveillance	Mice	Neoplasms
17476343	Neoplasms	*Immunologic Surveillance	Neoplasms
17476343	NA	*Tumors	Neoplasms
17476343	NA	Tumor Escape	Neoplasms
17476343	NA	Immunotherapies	Neoplasms
17476343	NA	Immune System	Neoplasms
17476343	NA	Natural Immunity	Neoplasms
21858793	Emergencies	Humans	Neoplasms
21858793	Humans	*Emergencies	Neoplasms
21858793	Neoplasms	Quality of Life	Neoplasms
21858793	NA	Neoplasm Recurrence, Local	Neoplasms
21858793	NA	*Medical Oncology	Neoplasms
21858793	NA	Tumour Lysis Syndrome	Neoplasms
21858793	NA	Hypercalcemia	Neoplasms
21858793	NA	Cardiac Tamponade	Neoplasms
21858793	NA	Superior Vena Cava Syndrome	Neoplasms
21858793	NA	Compression, Spinal Cord	Neoplasms
21858793	NA	Hyponatremia	Neoplasms
21858793	NA	Hypoglycemia	Neoplasms
28741506	Animals	Neoplasm Recurrence, Local	Neoplasms
28741506	Carcinogenesis	Cellular Senescence	Neoplasms
28741506	Cell Transformation, Neoplastic	Cell Transformation, Neoplastic	Neoplasms
28741506	Cellular Senescence	Cytokines	Neoplasms
28741506	Humans	Tumorigenesis	Neoplasms
28741506	Neoplasm Recurrence, Local	*Genes, Tumor Suppressor	Neoplasms
28741506	Neoplasms	*Promoter Regions, Genetic	Neoplasms
28741506	Phenotype	Phenotype	Neoplasms
31014516	Animals	*Matrix Metalloproteinases	Neoplasms
31014516	Humans	*Cancer	Neoplasms
31014516	Matrix Metalloproteinases	Antineoplastic Agents	Neoplasms
31014516	Neoplasm Metastasis	Cytokines	Neoplasms
31014516	Neoplasms	NA	Neoplasms
27890287	Animals	Animals	Neoplasms
27890287	Neoplasms	Rabbits	Neoplasms
27890287	Rabbits	*Medical Oncology	Neoplasms
27890287	NA	Neoplasms	Neoplasms
27890287	NA	Integumentary Systems	Neoplasms
27890287	NA	Problem Solving	Neoplasms
28779867	Child	Humans	Neoplasms
28779867	Humans	Child	Neoplasms
28779867	Neoplasms	*Malignancy	Neoplasms
28779867	Nervous System Diseases	Seizures	Neoplasms
28779867	NA	Movements, Abnormal	Neoplasms
28779867	NA	Neurotoxicity Syndromes	Neoplasms
28779867	NA	Psychosis	Neoplasms
28779867	NA	Peripheral Nervous System	Neoplasms
28779867	NA	Hematopoietic Stem Cell Transplantation	Neoplasms
28779867	NA	Stem Cell Transplantation	Neoplasms
28779867	NA	Disease Progression	Neoplasms
27364482	Animals	*Oncogenes	Neoplasms
27364482	Apoptosis	*Apoptosis	Neoplasms
27364482	Carcinogenesis	*Oncogenesis	Neoplasms
27364482	Humans	Cancer	Neoplasms
27364482	Neoplasms	NA	Neoplasms
27364482	Oncogenes	NA	Neoplasms
27364482	Prognosis	NA	Neoplasms
28782469	Antineoplastic Agents	Humans	Neoplasms
28782469	Cell Cycle Checkpoints	Immunotherapy	Neoplasms
28782469	Humans	Cancer	Neoplasms
28782469	Immunotherapy	Antineoplastic Agents	Neoplasms
28782469	Neoplasms	Cell Cycle Checkpoints	Neoplasms
28782469	NA	*Immunologic Factors	Neoplasms
28782469	NA	Efficacy, Clinical	Neoplasms
27890288	Animals	Animals	Neoplasms
27890288	Ferrets	*Ferrets	Neoplasms
27890288	Neoplasms	Insulinoma	Neoplasms
27890288	NA	*Medical Oncology	Neoplasms
27890288	NA	Adrenalectomy	Neoplasms
27890288	NA	Pancreatic Neoplasms	Neoplasms
31362690	History, 20th Century	Humans	Neoplasms
31362690	History, 21st Century	Cancer	Neoplasms
31362690	Humans	Oncogene	Neoplasms
31362690	Neoplasms	Biomedical Research	Neoplasms
25993239	Clonal Evolution	*Clonal Evolution	Neoplasms
25993239	Genetic Heterogeneity	Neoplastic Stem Cells	Neoplasms
25993239	Humans	Biomarkers, Tumor	Neoplasms
25993239	Neoplasms	Precancerous Conditions	Neoplasms
25993239	Neoplastic Stem Cells	Mutation	Neoplasms
25993239	Precancerous Conditions	Clones	Neoplasms
31099667	Disease Management	*Metabolic Pathways	Neoplasms
31099667	Energy Metabolism	Cancer	Neoplasms
31099667	Humans	Tumor Microenvironment	Neoplasms
31099667	Metabolic Networks and Pathways	Molecular Targeted Therapy	Neoplasms
31099667	Molecular Targeted Therapy	Glycolysis	Neoplasms
31099667	Neoplasms	Energy Metabolism	Neoplasms
31099667	NA	Cell Proliferation	Neoplasms
31099667	NA	Signal Transduction	Neoplasms
30241109	Academies and Institutes	Humans	Neoplasms
30241109	Delivery of Health Care	Cancer	Neoplasms
30241109	Europe	*Academy	Neoplasms
30241109	Humans	Translational Research	Neoplasms
30241109	Neoplasms	Europe	Neoplasms
30241109	Translational Medical Research	Biomedical Research	Neoplasms
30241109	NA	Healthcare	Neoplasms
30241109	NA	Quality of Health Care	Neoplasms
30241109	NA	*Medicine	Neoplasms
30241109	NA	Researchers	Neoplasms
30241109	NA	Outcomes Research	Neoplasms
30241109	NA	Data Accuracy	Neoplasms
28303019	Animals	*Optogenetics	Neurosciences
28303019	Electrophysiology	*Neuroscience	Neurosciences
28303019	Neuroanatomy	Opsin	Neurosciences
28303019	Neuroimaging	Brain	Neurosciences
28303019	Neurosciences	Rod Opsins	Neurosciences
28303019	Optogenetics	NA	Neurosciences
29096079	Animals	*Neurons	Neurosciences
29096079	Cell Biology	*Signal Transduction	Neurosciences
29096079	Cytoskeleton	*Neuroscience	Neurosciences
29096079	Humans	Organelle	Neurosciences
29096079	Neurons	Protein Transport	Neurosciences
29096079	Neurosciences	*Biological Processes	Neurosciences
29096079	Signal Transduction	NA	Neurosciences
29432512	Emotions	Psychoanalysis	Neurosciences
29432512	History, 19th Century	Psychoanalytic Theory	Neurosciences
29432512	History, 20th Century	*Emotions	Neurosciences
29432512	History, 21st Century	Psychoanalytic Therapy	Neurosciences
29432512	Humans	Neuroscience	Neurosciences
29432512	Interdisciplinary Communication	Neurobiology	Neurosciences
29432512	Neurosciences	Memory	Neurosciences
29432512	Psychoanalysis	Empathy	Neurosciences
29432512	Psychoanalytic Theory	Motivations	Neurosciences
29432512	Psychoanalytic Therapy	NA	Neurosciences
29432512	Psychology	NA	Neurosciences
29460160	History, 20th Century	Humans	Neurosciences
29460160	Human Experimentation	Human Experimentation	Neurosciences
29460160	Humans	Nazi	Neurosciences
29460160	Neurosciences	Informed Consent	Neurosciences
29460160	NA	Ethics, Medical	Neurosciences
29460160	NA	*Neuroscience	Neurosciences
29460160	NA	Morals	Neurosciences
29924477	Animals	Humans	Neurosciences
29924477	Brain	Animals	Neurosciences
29924477	Brain Mapping	*Neuroscience	Neurosciences
29924477	Electroencephalography	Brain Mapping	Neurosciences
29924477	History, 20th Century	Brain	Neurosciences
29924477	History, 21st Century	Functions, Cognitive	Neurosciences
29924477	Humans	Cerebral Cortex	Neurosciences
29924477	Magnetic Resonance Imaging	Electrical Stimulation	Neurosciences
29924477	Neurosciences	NA	Neurosciences
29766913	Humans	Humans	Neurosciences
29766913	Neurosciences	*Telemedicine	Neurosciences
29766913	Telemedicine	*Neurosciences	Neurosciences
29766913	NA	Videoconferencing	Neurosciences
29766913	NA	Delivery, Healthcare	Neurosciences
29766913	NA	India	Neurosciences
29110344	Animals	*Brain	Neurosciences
29110344	Brain	*Energy Metabolism	Neurosciences
29110344	Energy Metabolism	Neuroscience	Neurosciences
29110344	Humans	*Neurochemistry	Neurosciences
29110344	Neurosciences	Neurons	Neurosciences
29110344	NA	Cells, Glial	Neurosciences
29110344	NA	Neurology	Neurosciences
29110344	NA	Molecular Biology	Neurosciences
29096071	Animals	*Neuroscience	Neurosciences
29096071	Brain	Brain	Neurosciences
29096071	Humans	Neuronal Plasticity	Neurosciences
29096071	Neurobiology	NA	Neurosciences
29096071	Neuronal Plasticity	NA	Neurosciences
29096071	Neurosciences	NA	Neurosciences
29121942	Biomedical Research	Humans	Neurosciences
29121942	Brain Diseases	*Brain-Computer Interfaces	Neurosciences
29121942	Brain-Computer Interfaces	Communication Aids for Disabled	Neurosciences
29121942	Communication Aids for Disabled	Electroencephalography	Neurosciences
29121942	Electroencephalography	User-Computer Interface	Neurosciences
29121942	Ethics, Research	Brain	Neurosciences
29121942	Humans	Amyotrophic Lateral Sclerosis	Neurosciences
29121942	Neurosciences	NA	Neurosciences
29121942	Personhood	NA	Neurosciences
29121942	User-Computer Interface	NA	Neurosciences
27634721	Brain	Reproducibility of Results	Neurosciences
27634721	Criminal Behavior	Neurosciences	Neurosciences
27634721	Humans	Neuroimaging	Neurosciences
27634721	Intention	Morals	Neurosciences
27634721	Morals	Brain	Neurosciences
27634721	Neuroimaging	Criminal Law	Neurosciences
27634721	Neurosciences	Crime	Neurosciences
27634721	Reproducibility of Results	Intentions	Neurosciences
27634721	Social Responsibility	*Social Behavior	Neurosciences
27634721	Trust	Social Responsibility	Neurosciences
30980031	Animals	Animals	Neurosciences
30980031	Brain	Mice	Neurosciences
30980031	Cells, Cultured	Humans	Neurosciences
30980031	Equipment Design	*Silicon	Neurosciences
30980031	Humans	Action Potentials	Neurosciences
30980031	Mice	Neurosciences	Neurosciences
30980031	Nanotechnology	Neurons	Neurosciences
30980031	Neurons	Nanotechnology	Neurosciences
30980031	Neurosciences	Brain	Neurosciences
30980031	Photic Stimulation	NA	Neurosciences
30980031	Rats	NA	Neurosciences
30980031	Silicon	NA	Neurosciences
30731065	Bioethics	*Neuroscience	Neurosciences
30731065	Humans	*Brain	Neurosciences
30731065	National Institutes of Health (U.S.)	*Drive	Neurosciences
30731065	Neurosciences	Electric Power Supplies	Neurosciences
30731065	Practice Guidelines as Topic	NA	Neurosciences
30731065	United States	NA	Neurosciences
31260438	Brain	Humans	Neurosciences
31260438	Diagnostic Imaging	*Neuroscience	Neurosciences
31260438	Humans	*Brain	Neurosciences
31260438	Image Processing, Computer-Assisted	Brain Mapping	Neurosciences
31260438	Medical Informatics	Image Processing, Computer-Assisted	Neurosciences
31260438	Neurosciences	Medical Informatics	Neurosciences
31260438	Reproducibility of Results	*Technology	Neurosciences
31260438	Technology	NA	Neurosciences
27637950	Brain	Humans	Neurosciences
27637950	Gene-Environment Interaction	*Neuroscience	Neurosciences
27637950	Humans	Brain	Neurosciences
27637950	Neurosciences	NA	Neurosciences
27637950	Population Dynamics	NA	Neurosciences
28250055	Animals	HCRT protein, human	Neurosciences
28250055	Brain	*Orexins	Neurosciences
28250055	History, 20th Century	Neuropeptides	Neurosciences
28250055	History, 21st Century	*Neurons	Neurosciences
28250055	Humans	Wakefulness	Neurosciences
28250055	Neurons	Intracellular Signaling Peptides and Proteins	Neurosciences
28250055	Neurosciences	Hypothalamus	Neurosciences
28250055	Orexins	NA	Neurosciences
28250055	Periodicals as Topic	NA	Neurosciences
29547172	Academies and Institutes	Humans	Neurosciences
29547172	History, 19th Century	United States	Neurosciences
29547172	History, 20th Century	India	Neurosciences
29547172	History, 21st Century	*Neurology	Neurosciences
29547172	Humans	Neurosciences	Neurosciences
29547172	India	Nervous System Diseases	Neurosciences
29547172	Nervous System Diseases	Academies and Institutes	Neurosciences
29547172	Neurology	Societies, Medical	Neurosciences
29547172	Neurosciences	National Institute of Mental Health	Neurosciences
29547172	Photography	Faculty	Neurosciences
29547172	NA	Government	Neurosciences
30720413	Bioethical Issues	Humans	Neurosciences
30720413	Bioethics	Neuroscience	Neurosciences
30720413	Humans	Bioethical Issues	Neurosciences
30720413	Jurisprudence	Technology	Neurosciences
30720413	Neurosciences	Brain	Neurosciences
30720413	NA	Confusion	Neurosciences
30720413	NA	Recognition, Psychology	Neurosciences
30720413	NA	Sister	Neurosciences
30720413	NA	Organizations	Neurosciences
30720413	NA	Charges	Neurosciences
30720413	NA	Reconstructive Surgical Procedures	Neurosciences
30720413	NA	Rubiaceae	Neurosciences
28552516	Animals	Animals	Neurosciences
28552516	Behavior, Animal	*Neuroscience	Neurosciences
28552516	Behavioral Research	Behavioral Research	Neurosciences
28552516	Biological Assay	Behavior, Animal	Neurosciences
28552516	Neurosciences	*Bioassays	Neurosciences
28552516	Reproducibility of Results	NA	Neurosciences
29316506	Animals	Humans	Neurosciences
29316506	Humans	Animals	Neurosciences
29316506	Microscopy	Mice	Neurosciences
29316506	Neurons	*Neuroscience	Neurosciences
29316506	Neurosciences	Microscopy, Fluorescence	Neurosciences
29316506	Synapses	Microscopy, Confocal	Neurosciences
29316506	NA	Synapses	Neurosciences
29316506	NA	Neurons	Neurosciences
29316506	NA	Specimen Handling	Neurosciences
29316506	NA	Brain	Neurosciences
29316506	NA	Polymer	Neurosciences
29733893	Animal Testing Alternatives	Humans	Neurosciences
29733893	Animal Welfare	Animals	Neurosciences
29733893	Animals	*Neuroscience	Neurosciences
29733893	Bibliometrics	Animal Experimentation	Neurosciences
29733893	Biomedical Research	Animal Welfare	Neurosciences
29733893	Humans	Animal Testing Alternatives	Neurosciences
29733893	Models, Animal	Research Methodology	Neurosciences
29733893	Neurosciences	Primates	Neurosciences
29733893	Primates	Biomedical Research	Neurosciences
29733893	Research Design	Researchers	Neurosciences
29733893	United Kingdom	NA	Neurosciences
